D03 D04 D05 D08 D09 D10 D11 D12 D13 D14
0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0089 0.0123 0.0002 0.0900 0.0900 0.0900
0.0000 0.0000 0.0900 0.0303 0.0128 0.0900 0.0899 0.0338 0.0000 0.0900
0.0000 0.0586 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900 0.0900
0.0000 0.0000 0.0000 0.0000 0.0148 0.0000 0.0293 0.0900 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0537 0.0172 0.0432 0.0194 0.0781 0.0900 0.0900 0.0900
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
